order,property,displayLabel,family,confidence,tbiUse,source
1,SelectedTower,Selected Tower,Run Header / Identity,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
2,BattleDate,Battle Date,Run Header / Identity,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
3,GameTime,Game Time,Run Header / Identity,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
4,RealTime,Real Time,Run Header / Identity,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
5,IsTournament,Is Tournament,Run Header / Identity,High,"Internal battle history supports tournament flag; pasted reports may not show it, so TBI still needs manual tournament tagging.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
6,Tier,Tier,Run Header / Identity,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
7,Wave,Wave,Run Header / Identity,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
8,KilledBy,Killed By,Run Header / Identity,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
9,CoinsEarned,Coins Earned,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
10,CashEarned,Cash Earned,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
11,InterestEarned,Interest Earned,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
12,GemsThisRound,Gems This Round,Currencies / Rewards,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
13,GemBlocksTapped,Gem Blocks Tapped,Currencies / Rewards,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
14,AdGemsThisRound,Ad Gems,Currencies / Rewards,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
15,CellsEarned,Cells Earned,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
16,RerollShardsEarned,Reroll Shards Earned,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
17,DamageTaken,Damage Taken,Survival / Damage Blocked / Regen,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
18,DamageTakenWall,Damage Taken Wall,Survival / Damage Blocked / Regen,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
