category,categoryLabel,source,line,text
battle_report_schema,Battle Report schema / parser dictionary,assets,606,Heals Tower for a % of Damage dealt.
battle_report_schema,Battle Report schema / parser dictionary,assets,1413,Coins Earned
battle_report_schema,Battle Report schema / parser dictionary,assets,1426,Damage Dealt
battle_report_schema,Battle Report schema / parser dictionary,assets,1554,Killed by: Basic
battle_report_schema,Battle Report schema / parser dictionary,assets,1563,Killed by: Fast
battle_report_schema,Battle Report schema / parser dictionary,assets,1572,Killed by: Tank
battle_report_schema,Battle Report schema / parser dictionary,assets,1579,Killed by: Boss
battle_report_schema,Battle Report schema / parser dictionary,assets,1586,Killed by: Ranged
battle_report_schema,Battle Report schema / parser dictionary,assets,1812,x2.0 all coins earned permanently
battle_report_schema,Battle Report schema / parser dictionary,assets,1824,x3.0 all coins earned permanently
battle_report_schema,Battle Report schema / parser dictionary,assets,2246,Increases all Coins earned by
battle_report_schema,Battle Report schema / parser dictionary,assets,4745,Percentage of Tower max health increased by each enemy killed by Death Wave (Max of x7 base health)
battle_report_schema,Battle Report schema / parser dictionary,assets,4762,Extra coins bonus applied to enemies hit by Death Wave
battle_report_schema,Battle Report schema / parser dictionary,assets,5196,Killed By
battle_report_schema,Battle Report schema / parser dictionary,assets,8650,On Projectile Hit: Chance to permanently increase Damage taken.
battle_report_schema,Battle Report schema / parser dictionary,assets,8664,Bonus Damage taken per Rend stack (Max {0}x).
battle_report_schema,Battle Report schema / parser dictionary,assets,8852,Battle Report
battle_report_schema,Battle Report schema / parser dictionary,assets,8860,Game Time
battle_report_schema,Battle Report schema / parser dictionary,assets,8867,Real Time
battle_report_schema,Battle Report schema / parser dictionary,assets,8899,Damage Dealt Rate
battle_report_schema,Battle Report schema / parser dictionary,assets,8910,Damage Taken
battle_report_schema,Battle Report schema / parser dictionary,assets,8917,Damage Taken Wall
battle_report_schema,Battle Report schema / parser dictionary,assets,8924,Damage Taken While Berserked%
battle_report_schema,Battle Report schema / parser dictionary,assets,9161,Golden Bot Coins Earned
battle_report_schema,Battle Report schema / parser dictionary,assets,10935,Increase coins earned by {0}%
battle_report_schema,Battle Report schema / parser dictionary,assets,15180,Cells earned from destroying elite enemies
battle_report_schema,Battle Report schema / parser dictionary,assets,15387,Cells Earned
battle_report_schema,Battle Report schema / parser dictionary,assets,15898,coins earned
battle_report_schema,Battle Report schema / parser dictionary,assets,15906,ad coins earned
battle_report_schema,Battle Report schema / parser dictionary,assets,19126,Adds a coin bonus to enemies hit by orbs and unlocks Coin Orb research
battle_report_schema,Battle Report schema / parser dictionary,assets,19628,Enemies hit by orbs drop bonus coins>
battle_report_schema,Battle Report schema / parser dictionary,assets,20775,Extra coins bonus applied to enemies hit by Effect Waves or Death Wave
battle_report_schema,Battle Report schema / parser dictionary,assets,30789,Enemies Hit by Orbs
battle_report_schema,Battle Report schema / parser dictionary,assets,33529,Enemies Hit By
battle_report_schema,Battle Report schema / parser dictionary,assets,33537,Killed With Effect Active
battle_report_schema,Battle Report schema / parser dictionary,assets,33552,Enemies Destroyed By
battle_report_schema,Battle Report schema / parser dictionary,assets,33561,Cells Earned Per Hour
battle_report_schema,Battle Report schema / parser dictionary,assets,33940,"Enemies hit by Flame Bot become Enflamed in addition to Burned, receiving {1}x extra damage."
battle_report_schema,Battle Report schema / parser dictionary,assets,35423,Bonus Damage taken by Shocked Enemies
battle_report_schema,Battle Report schema / parser dictionary,assets,35630,On Hit: Amplifies Death Wave Damage taken (Max +50x/Wave).
battle_report_schema,Battle Report schema / parser dictionary,metadata,2630,BattleHistoryEntryUI
battle_report_schema,Battle Report schema / parser dictionary,metadata,2662,BattleHistoryEntryUIMode
battle_report_schema,Battle Report schema / parser dictionary,metadata,7708,CreateBattleHistoryEntry
battle_report_schema,Battle Report schema / parser dictionary,metadata,8116,enemiesDestroyedByOtherThisRound
battle_report_schema,Battle Report schema / parser dictionary,metadata,8673,BattleHistoryEntry
battle_report_schema,Battle Report schema / parser dictionary,metadata,8920,get_DestroyedByOther
battle_report_schema,Battle Report schema / parser dictionary,metadata,8921,set_DestroyedByOther
battle_report_schema,Battle Report schema / parser dictionary,metadata,8928,get_GuardianDamage
battle_report_schema,Battle Report schema / parser dictionary,metadata,8929,set_GuardianDamage
battle_report_schema,Battle Report schema / parser dictionary,metadata,9053,destroyedByOther
battle_report_schema,Battle Report schema / parser dictionary,metadata,9057,guardianDamage
battle_report_schema,Battle Report schema / parser dictionary,metadata,9188,DestroyedByOther
battle_report_schema,Battle Report schema / parser dictionary,metadata,9191,GuardianDamage
battle_report_schema,Battle Report schema / parser dictionary,metadata,12967,get_TotalEnemiesDestroyedByOther
battle_report_schema,Battle Report schema / parser dictionary,metadata,12968,set_TotalEnemiesDestroyedByOther
battle_report_schema,Battle Report schema / parser dictionary,metadata,13097,get_EnemiesDestroyedByOtherThisRound
battle_report_schema,Battle Report schema / parser dictionary,metadata,13098,set_EnemiesDestroyedByOtherThisRound
battle_report_schema,Battle Report schema / parser dictionary,metadata,14047,totalEnemiesDestroyedByOther
battle_report_schema,Battle Report schema / parser dictionary,metadata,14324,TotalEnemiesDestroyedByOther
battle_report_schema,Battle Report schema / parser dictionary,metadata,14389,EnemiesDestroyedByOtherThisRound
battle_report_schema,Battle Report schema / parser dictionary,metadata,15458,EnemiesDestroyedByOther
battle_report_schema,Battle Report schema / parser dictionary,metadata,16816,HasSelectedBattleHistoryEntryForDeletion
battle_report_schema,Battle Report schema / parser dictionary,metadata,16817,SelectBattleHistoryEntryForDeletion
battle_report_schema,Battle Report schema / parser dictionary,metadata,16818,UnselectBattleHistoryEntryForDeletion
battle_report_schema,Battle Report schema / parser dictionary,metadata,17409,battleHistoryEntryPrefab
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,174,Shockwave Size
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,181,Shockwave Frequency
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,195,Cash / Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,210,Coins / Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,236,Interest / Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,257,Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,651,Size of Knockback Shockwave (except Bosses).B
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,660,Cash Multiplier for all sources (Includes Wave Bonus).
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,669,Cash granted On Wave End.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,685,Coins granted On Wave End.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,693,On Wave End: Chance to grant a Free Attack Upgrade.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,702,On Wave End: Chance to grant a Free Defense Upgrade.O
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,712,On Wave End: Chance to grant a Free Utility Upgrade.O
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,723,On Wave End: Grants % of Current Cash (Max
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,788,"Spawn {0} Effect Waves, then unleash a Death Wave which persists until dealing {1}x Tower Damage (scales with all Crit)."
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,1049,Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,1117,Power stones are earned in tournaments. Unlock tournaments by reaching wave 60
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,1439,waves completed
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,1518,Tier
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,1531,New Highest Wave!
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,1539,Highest Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,1874,unlock by reaching wave x
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,2098,Unlock at wave 60
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,2107,New Difficulty Tier Available
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,3126,Investiere deine wertvollen M
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,3687,Difficulty Tier
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,3711,Unlock by reaching wave 30
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,3726,Cooldown between Shockwaves./
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,3773,Perk wave requirement
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,3806,wave on death wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,3954,"x{0} cash per wave, but enemy kills don't give cash"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4277,Death Wave Health
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4283,Death Wave Coin Bonus
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4351,Waves Required
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4745,Percentage of Tower max health increased by each enemy killed by Death Wave (Max of x7 base health)
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4762,Extra coins bonus applied to enemies hit by Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4767,s par Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4768,Bonus extra in monete applicato ai nemici colpiti da Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4774,n de monedas extra aplicada a los enemigos golpeados por Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4775,nus de moedas extras aplicado a inimigos atingidos por Death WaveW
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4789,"glicht inneren Minen, um den Turm zu rotieren"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4841,Unlock perks. Special powers that you can activate after some waves
