source,line,kind,text
asset,174,localization/ui,Shockwave Size
asset,181,localization/ui,Shockwave Frequency
asset,195,localization/ui,Cash / Wave
asset,210,localization/ui,Coins / Wave
asset,236,localization/ui,Interest / Wave
asset,257,localization/ui,Death Wave
asset,595,localization/ui,"mpfer, 50 % Schaden an Bossen)"
asset,651,localization/ui,Size of Knockback Shockwave (except Bosses).B
asset,656,localization/ui,er Bosse)I
asset,660,localization/ui,Cash Multiplier for all sources (Includes Wave Bonus).
asset,669,localization/ui,Cash granted On Wave End.
asset,685,localization/ui,Coins granted On Wave End.
asset,693,localization/ui,On Wave End: Chance to grant a Free Attack Upgrade.
asset,702,localization/ui,On Wave End: Chance to grant a Free Defense Upgrade.O
asset,712,localization/ui,On Wave End: Chance to grant a Free Utility Upgrade.O
asset,723,localization/ui,On Wave End: Grants % of Current Cash (Max
asset,788,localization/ui,"Spawn {0} Effect Waves, then unleash a Death Wave which persists until dealing {1}x Tower Damage (scales with all Crit)."
asset,815,localization/ui,Create a Field for {0}s that reduces Enemy Speed by {1}%.
asset,1037,localization/ui,Boss
asset,1038,localization/ui,Boss
asset,1039,localization/ui,Boss
asset,1040,localization/ui,Boss
asset,1049,localization/ui,Wave
asset,1117,localization/ui,Power stones are earned in tournaments. Unlock tournaments by reaching wave 60
asset,1439,localization/ui,waves completed
asset,1518,localization/ui,Tier
asset,1531,localization/ui,New Highest Wave!
asset,1539,localization/ui,Highest Wave
asset,1579,localization/ui,Killed by: Boss
asset,1583,localization/ui,tet von: Boss
asset,1874,localization/ui,unlock by reaching wave x
asset,2098,localization/ui,Unlock at wave 60
asset,2107,localization/ui,New Difficulty Tier Available
asset,2254,localization/ui,Reduces Common Enemy Speed in Range by
asset,2275,localization/ui,Spawns a rotating Orb at {0} Speed which instantly kills on contact (except Bosses)
asset,2282,localization/ui,er Bosse) bei Kontakt zerst
asset,2289,localization/ui,"Fires a Plasma Shot at the Boss, reducing Health by"
asset,2294,localization/ui,en Plasmaschuss auf einen Boss ab und reduziere seine Leben um
asset,2297,localization/ui,Fires a Death Ray that instantly kills on contact (except Bosses) with a duration of^
asset,2304,localization/ui,er Bosse) bei Kontakt zerst
asset,2311,localization/ui,"Fires an Energy Net at the Boss, Immobilizing it for="
asset,2315,localization/ui,Feuere ein spezielles Netz auf einen Boss ab und immobilisiere ihn f
asset,2335,localization/ui,ht die mit jeder Welle gespawnten Gegner; pro T
asset,3126,localization/ui,Investiere deine wertvollen M
asset,3687,localization/ui,Difficulty Tier
asset,3711,localization/ui,Unlock by reaching wave 30
asset,3726,localization/ui,Cooldown between Shockwaves./
asset,3773,localization/ui,Perk wave requirement
asset,3806,localization/ui,wave on death wave
asset,3845,localization/ui,"Turmschaden x {0}, Bosse haben jedoch Leben x {1}"
asset,3954,localization/ui,"x{0} cash per wave, but enemy kills don't give cash"
asset,3988,localization/ui,"Boss health -{0}%, but boss speed +{1}%"
asset,3992,localization/ui,"Boss-Leben - {0} %, Bossgeschwindigkeit jedoch + {1} %"
asset,4149,localization/ui,Missiles Despawn Time
asset,4154,localization/ui,Despawn-Zeit f
asset,4277,localization/ui,Death Wave Health
asset,4283,localization/ui,Death Wave Coin Bonus
asset,4351,localization/ui,Waves Required
asset,4745,localization/ui,Percentage of Tower max health increased by each enemy killed by Death Wave (Max of x7 base health)
asset,4762,localization/ui,Extra coins bonus applied to enemies hit by Death Wave
asset,4767,localization/ui,s par Death Wave
asset,4768,localization/ui,Bonus extra in monete applicato ai nemici colpiti da Death Wave
asset,4774,localization/ui,n de monedas extra aplicada a los enemigos golpeados por Death Wave
asset,4775,localization/ui,nus de moedas extras aplicado a inimigos atingidos por Death WaveW
asset,4789,localization/ui,"glicht inneren Minen, um den Turm zu rotieren"
asset,4841,localization/ui,Unlock perks. Special powers that you can activate after some waves
asset,4853,localization/ui,Reduce how many waves to activate a new perkI
asset,5147,localization/ui,All players will play on specific tiers for each tournament rank.
asset,5484,localization/ui,Recovery Packages heal % of Max Health.
asset,5511,localization/ui,Chance for a Recovery Package to spawn each Wave.
asset,5516,localization/ui,"Chance, dass bei jeder Welle ein Erholungspaket gespawnt wird"
asset,5542,localization/ui,Wave Skip
asset,5549,localization/ui,Intro Sprint
asset,5578,localization/ui,"Chance to Skip Wave, granting 1.1x previous Wave Cash & Coins, of"
asset,5598,localization/ui,"Once per Round: Revive Tower at 50% Health, respawn Wall, & grant Invincibility for {0}"
asset,5646,localization/ui,Skips 10 Waves at a time for the first {0} Waves (capped at your Highest Wave). Bosses spawn every Wave and no Coins are granted during Intro Sprint
asset,5659,localization/ui,chsten Welle. Ein Boss spawnt bei jeder Welle und es werden keine M
asset,5719,localization/ui,Unlock Interest / Wave
asset,5766,localization/ui,Unlock Shockwave Upgrades
asset,5923,localization/ui,Increase shockwave size
asset,6000,localization/ui,"You are participating in a tournament, reach the highest wave you can to get a good ranking positionh"
asset,6011,localization/ui,Orbs Boss Hit
asset,6014,localization/ui,Orb-Bosstreffer
asset,6017,localization/ui,Package After Boss
asset,6021,localization/ui,Paket nach Boss
asset,6049,localization/ui,nnen Bosse mit einem Prozentsatz des Boss-Lebens treffenM
asset,6054,localization/ui,"After a boss wave, a recovery package is guaranteed to spawn<"
asset,6059,localization/ui,Nach einer Bosswelle spawnt garantiert ein Erholungspaket
asset,6097,localization/ui,Unlock Package After Boss
asset,6101,localization/ui,Paket nach Boss freischalten%
asset,6240,localization/ui,Complete missions to earn medals. Each mission has 3 tiers:
asset,6283,localization/ui,limitiert
asset,6391,localization/ui,Reach wave {0} on any tier
asset,6401,localization/ui,Reach wave {0} on your max tier without any card equipped
asset,6428,localization/ui,Keep {0} consecutive waves getting max Interest
asset,6443,localization/ui,Take no damage for {0} consecutive waves9
asset,6459,localization/ui,te {0} Bosse au
asset,6503,localization/ui,te {0} Bosse
asset,6592,localization/ui,Kill {0} enemies with Death Wave)
asset,6686,localization/ui,Skip a total of {0} waves
asset,6710,localization/ui,Triff einen Boss {0}-mal mit einem Energienetz
asset,6813,localization/ui,Limitiert
asset,6873,localization/ui,"Apply Burn to enemies, dealing Damage over Time and reducing Enemy Damage.{0}"
asset,6900,localization/ui,Stun enemies. Applies Slow for {0} after the Stun ends. 50% effective vs Bosses and Elites.
asset,6912,localization/ui,Stordisce i nemici. Applica Rallentamento per {0} al termine dello stordimento. Efficacia del 50% contro Boss ed Elite.
asset,6916,localization/ui,r {0}. 50 % effektiv gegen Bosse und Elitegegner.
asset,7080,localization/ui,Wave Accelerator
asset,7086,localization/ui,Reduces Wave Cooldown by {0} seconds?
asset,7438,localization/ui,Previous round ended because you did not progress {0} waves past previous load
asset,7474,localization/ui,Milestones
asset,7493,localization/ui,Milestones Premium
asset,7501,localization/ui,for tier {0} through tier {1}
asset,7542,localization/ui,You need the Death Wave Ultimate Weapon to research thisH
asset,7710,localization/ui,Common Enemy Health
asset,7722,localization/ui,Fast Enemy Health
asset,7738,localization/ui,Fast Enemy Speed
asset,7747,localization/ui,Tank Enemy Health
asset,7759,localization/ui,Ranged Enemy Health
asset,7771,localization/ui,Boss Health
asset,7774,localization/ui,Boss-Leben
asset,7777,localization/ui,Boss Attack
asset,7780,localization/ui,Boss-Angriff
asset,7835,localization/ui,Increase recovery package chance of spawning each wave
asset,7840,localization/ui,"ht die Chance, dass bei jeder Welle ein Erholungspaket spawnt"
asset,7886,localization/ui,Decrease Common Enemy Health$
asset,7900,localization/ui,Decrease Fast Enemy Health
asset,7916,localization/ui,Decrease Fast Enemy Speed
asset,7925,localization/ui,Decrease Tank Enemy Health
asset,7937,localization/ui,Decrease Ranged Enemy Health
asset,7949,localization/ui,Decrease Boss Health
asset,7952,localization/ui,Verringert die Boss-Leben
asset,7955,localization/ui,Decrease Boss Attack
asset,7958,localization/ui,Verringert den Boss-Angriff
asset,8142,localization/ui,Wave timer
asset,8148,localization/ui,Wave cooldown
asset,8162,localization/ui,Wave Info
asset,8389,localization/ui,Unlock Enemy Level Skips-
asset,8405,localization/ui,Enemy Health Level Skip
asset,8413,localization/ui,On Wave End: Chance to skip Enemy Attack scaling.
asset,8425,localization/ui,On Wave End: Chance to skip Enemy Health scaling.
asset,8455,localization/ui,Unlock Recovery Package
asset,8521,localization/ui,Tier {0} unlocked
asset,8967,localization/ui,Gespawnte Landminen
asset,9021,localization/ui,Death Wave Damage
asset,9044,localization/ui,Waves Skipped
asset,9066,localization/ui,HP From Death Wave
asset,9074,localization/ui,Coins From Death Wave
asset,9197,localization/ui,Unlock Enemy Level Skips-
asset,9205,localization/ui,Wave Skip!
asset,9397,localization/ui,Advance through a total of {0} waves
asset,9540,localization/ui,Gain a {0} chance of skipping waves while still earning cash and coins equal to x1.10 the value of the wave enemies
asset,9585,localization/ui,Tournament Heat
asset,9594,localization/ui,"This tournament has Heat applied. The Heat will level up as you reach higher waves. You can view the current heat level in the heat menu during battles. Heat will rise at specific waves: 20, 40, 60, 80, 100, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900, 1000T"
asset,9674,localization/ui,Heat Info
asset,9763,localization/ui,Enemy Speed
asset,9836,localization/ui,{0} more enemies spawn
asset,9840,localization/ui,{0} weitere Gegner spawnen
asset,9856,localization/ui,"Besides bosses, only {0} enemies spawn"
asset,9859,localization/ui,Neben Bossen spawnen nur {0} Gegner
asset,9920,localization/ui,Wave Jumps
asset,9927,localization/ui,Waves go up by {0} instead of 1
asset,9939,localization/ui,More Bosses
asset,9940,localization/ui,Boss
asset,9943,localization/ui,Mehr Bosse
asset,9947,localization/ui,Bosses spawn every {0} waves instead of 10
asset,9950,localization/ui,Bosse spawnen statt alle 10 alle {0} Wellen
asset,10449,localization/ui,"Beat wave 4,500 in Tier 1"
asset,10462,localization/ui,"Beat wave 4,500 in Tier 2"
asset,10475,localization/ui,"Beat wave 4,500 in Tier 3"
asset,10488,localization/ui,"Beat wave 4,500 in Tier 4"
asset,10501,localization/ui,"Beat wave 4,500 in Tier 5"
asset,10514,localization/ui,"Beat wave 4,500 in Tier 6"
asset,10527,localization/ui,"Beat wave 4,500 in Tier 7"
asset,10540,localization/ui,"Beat wave 4,500 in Tier 8"
asset,10553,localization/ui,"Beat wave 4,500 in Tier 9"
asset,10566,localization/ui,"Beat wave 4,500 in Tier 10"
asset,10582,localization/ui,"Beat wave 4,500 in Tier 11"
asset,10598,localization/ui,"Beat wave 4,500 in Tier 12"
asset,10614,localization/ui,"Beat wave 4,500 in Tier 13"
asset,10630,localization/ui,"Beat wave 4,500 in Tier 14"
asset,10646,localization/ui,"Beat wave 4,500 in Tier 15"
asset,11028,localization/ui,On Chain Lightning Hit: {0}% chance to deal {1}% Current Wave HP Damage (Max 100 Hits/Enemy).
